ID,age,gender,tenure,frequent,payment_interval,subscription_type,contract_length,after_interaction,support_needs
TRAIN_04551,41.0,M,3.0,8.0,11.0,plus,90,8.0,1
TRAIN_04552,26.0,F,17.0,17.0,28.0,vip,30,6.0,0
TRAIN_04553,46.0,M,21.0,12.0,16.0,vip,360,6.0,1
TRAIN_04554,50.0,M,48.0,13.0,14.0,member,30,18.0,2
TRAIN_04555,50.0,F,5.0,23.0,0.0,plus,90,12.0,1
TRAIN_04556,56.0,M,6.0,9.0,1.0,plus,90,4.0,2
TRAIN_04557,25.0,M,11.0,19.0,20.0,plus,90,10.0,2
TRAIN_04558,21.0,M,55.0,13.0,26.0,vip,90,6.0,1
TRAIN_04559,46.0,F,44.0,20.0,9.0,vip,360,12.0,0
TRAIN_04560,45.0,F,31.0,11.0,21.0,member,90,26.0,2
TRAIN_04561,29.0,M,53.0,24.0,18.0,member,360,10.0,0
TRAIN_04562,48.0,M,22.0,23.0,18.0,vip,90,27.0,2
TRAIN_04563,60.0,M,44.0,21.0,5.0,vip,30,6.0,0
TRAIN_04564,39.0,M,38.0,6.0,7.0,plus,360,9.0,0
TRAIN_04565,55.0,F,34.0,12.0,1.0,vip,90,23.0,0
TRAIN_04566,43.0,F,26.0,28.0,3.0,vip,360,4.0,1
TRAIN_04567,39.0,M,60.0,14.0,27.0,plus,360,28.0,2
TRAIN_04568,28.0,F,26.0,22.0,16.0,vip,360,1.0,0
TRAIN_04569,41.0,M,37.0,19.0,6.0,member,360,11.0,0
TRAIN_04570,37.0,F,50.0,16.0,20.0,member,30,25.0,1
TRAIN_04571,48.0,M,8.0,8.0,19.0,member,90,12.0,1
TRAIN_04572,47.0,M,24.0,21.0,8.0,vip,90,4.0,1
TRAIN_04573,36.0,M,58.0,20.0,17.0,vip,30,2.0,2
TRAIN_04574,58.0,F,33.0,19.0,19.0,member,30,7.0,0
TRAIN_04575,36.0,F,56.0,23.0,2.0,member,90,7.0,0
TRAIN_04576,31.0,M,45.0,4.0,1.0,vip,90,24.0,0
TRAIN_04577,39.0,F,39.0,10.0,18.0,vip,360,2.0,0
TRAIN_04578,18.0,M,46.0,19.0,16.0,plus,90,11.0,0
TRAIN_04579,45.0,M,33.0,7.0,23.0,vip,90,6.0,1
TRAIN_04580,63.0,F,6.0,23.0,29.0,member,90,30.0,2
TRAIN_04581,42.0,M,32.0,23.0,8.0,vip,30,4.0,2
TRAIN_04582,18.0,F,5.0,14.0,3.0,plus,90,1.0,0
TRAIN_04583,60.0,M,50.0,2.0,17.0,member,30,25.0,2
TRAIN_04584,31.0,M,11.0,30.0,8.0,vip,360,18.0,0
TRAIN_04585,29.0,F,60.0,1.0,16.0,plus,360,13.0,1
TRAIN_04586,44.0,M,25.0,16.0,9.0,plus,360,14.0,1
TRAIN_04587,34.0,F,31.0,24.0,1.0,member,90,26.0,1
TRAIN_04588,45.0,F,44.0,16.0,20.0,plus,30,12.0,1
TRAIN_04589,20.0,M,38.0,3.0,16.0,member,360,9.0,0
TRAIN_04590,38.0,F,60.0,21.0,16.0,member,360,7.0,1
TRAIN_04591,43.0,F,9.0,30.0,16.0,member,90,23.0,1
TRAIN_04592,43.0,M,46.0,17.0,15.0,plus,360,23.0,0
TRAIN_04593,60.0,F,7.0,16.0,14.0,vip,360,1.0,2
TRAIN_04594,36.0,M,42.0,6.0,10.0,member,90,12.0,2
TRAIN_04595,38.0,M,53.0,28.0,14.0,vip,90,2.0,2
TRAIN_04596,33.0,M,25.0,14.0,24.0,vip,360,20.0,1
TRAIN_04597,23.0,F,16.0,2.0,6.0,member,360,15.0,0
TRAIN_04598,50.0,F,34.0,27.0,0.0,plus,90,26.0,2
TRAIN_04599,43.0,M,10.0,27.0,13.0,member,360,17.0,0
TRAIN_04600,30.0,F,60.0,12.0,2.0,vip,360,13.0,1
TRAIN_04601,29.0,F,31.0,3.0,5.0,vip,360,28.0,2
TRAIN_04602,44.0,F,21.0,12.0,18.0,member,90,4.0,2
TRAIN_04603,57.0,F,35.0,14.0,19.0,vip,90,5.0,0
TRAIN_04604,37.0,M,43.0,3.0,13.0,plus,90,23.0,0
TRAIN_04605,21.0,M,53.0,5.0,21.0,member,90,26.0,0
TRAIN_04606,49.0,M,20.0,14.0,8.0,member,360,1.0,2
TRAIN_04607,60.0,M,40.0,26.0,17.0,vip,90,1.0,2
TRAIN_04608,52.0,F,46.0,3.0,16.0,plus,360,30.0,0
TRAIN_04609,31.0,M,60.0,15.0,22.0,vip,30,18.0,1
TRAIN_04610,46.0,M,22.0,11.0,9.0,member,90,2.0,1
TRAIN_04611,45.0,M,36.0,9.0,18.0,member,90,13.0,0
TRAIN_04612,44.0,F,9.0,8.0,18.0,member,360,10.0,1
TRAIN_04613,55.0,F,38.0,30.0,27.0,member,360,20.0,2
TRAIN_04614,47.0,M,48.0,24.0,3.0,member,90,16.0,1
TRAIN_04615,50.0,F,46.0,28.0,19.0,vip,360,6.0,1
TRAIN_04616,22.0,F,54.0,13.0,18.0,vip,30,18.0,1
TRAIN_04617,36.0,M,43.0,14.0,8.0,vip,30,8.0,2
TRAIN_04618,28.0,M,43.0,21.0,13.0,member,360,16.0,0
TRAIN_04619,25.0,M,60.0,21.0,6.0,member,90,29.0,0
TRAIN_04620,61.0,F,4.0,15.0,27.0,member,30,13.0,2
TRAIN_04621,26.0,M,50.0,30.0,1.0,plus,360,30.0,0
TRAIN_04622,51.0,F,12.0,17.0,7.0,plus,360,5.0,2
TRAIN_04623,56.0,M,47.0,12.0,20.0,member,30,2.0,2
TRAIN_04624,53.0,F,50.0,30.0,14.0,member,90,3.0,0
TRAIN_04625,34.0,F,27.0,7.0,12.0,plus,30,11.0,2
TRAIN_04626,26.0,M,25.0,15.0,6.0,vip,30,15.0,0
TRAIN_04627,28.0,M,1.0,14.0,0.0,plus,360,25.0,2
TRAIN_04628,44.0,M,6.0,7.0,10.0,member,30,12.0,2
TRAIN_04629,50.0,M,27.0,9.0,10.0,vip,90,6.0,0
TRAIN_04630,51.0,M,12.0,22.0,0.0,vip,360,6.0,0
TRAIN_04631,57.0,M,55.0,10.0,12.0,member,30,17.0,0
TRAIN_04632,35.0,M,23.0,21.0,3.0,plus,360,19.0,0
TRAIN_04633,48.0,F,29.0,21.0,27.0,vip,90,2.0,2
TRAIN_04634,56.0,F,44.0,3.0,4.0,plus,360,24.0,0
TRAIN_04635,19.0,M,11.0,20.0,0.0,member,360,18.0,0
TRAIN_04636,41.0,F,32.0,17.0,9.0,vip,360,12.0,2
TRAIN_04637,34.0,F,45.0,10.0,4.0,plus,360,5.0,0
TRAIN_04638,29.0,M,19.0,6.0,28.0,vip,90,25.0,2
TRAIN_04639,28.0,M,22.0,28.0,13.0,vip,90,7.0,0
TRAIN_04640,56.0,F,37.0,6.0,7.0,member,30,9.0,0
TRAIN_04641,46.0,M,48.0,24.0,16.0,plus,90,24.0,1
TRAIN_04642,51.0,F,38.0,4.0,0.0,plus,90,1.0,2
TRAIN_04643,49.0,M,14.0,30.0,9.0,plus,360,6.0,0
TRAIN_04644,63.0,F,12.0,5.0,27.0,vip,90,28.0,0
TRAIN_04645,65.0,F,26.0,11.0,19.0,vip,90,19.0,0
TRAIN_04646,33.0,M,58.0,17.0,21.0,vip,90,22.0,1
TRAIN_04647,27.0,M,30.0,4.0,0.0,vip,90,19.0,0
TRAIN_04648,63.0,F,1.0,12.0,27.0,vip,360,10.0,2
TRAIN_04649,26.0,M,1.0,7.0,12.0,member,90,7.0,1
TRAIN_04650,58.0,M,28.0,13.0,13.0,plus,90,28.0,2
TRAIN_04651,24.0,F,39.0,14.0,5.0,vip,90,19.0,1
TRAIN_04652,61.0,M,24.0,18.0,25.0,plus,30,13.0,0
TRAIN_04653,38.0,M,1.0,2.0,24.0,vip,360,30.0,2
TRAIN_04654,62.0,F,46.0,8.0,24.0,plus,90,3.0,2
TRAIN_04655,23.0,F,60.0,1.0,29.0,plus,360,20.0,1
TRAIN_04656,37.0,M,22.0,27.0,18.0,member,360,24.0,1
TRAIN_04657,41.0,M,25.0,12.0,6.0,member,360,5.0,0
TRAIN_04658,38.0,M,28.0,21.0,22.0,member,360,15.0,0
TRAIN_04659,37.0,M,9.0,2.0,6.0,plus,360,6.0,0
TRAIN_04660,30.0,F,57.0,16.0,16.0,member,90,8.0,2
TRAIN_04661,49.0,F,48.0,28.0,6.0,vip,90,3.0,0
TRAIN_04662,40.0,M,4.0,26.0,0.0,vip,360,25.0,1
TRAIN_04663,21.0,F,39.0,3.0,20.0,member,30,1.0,2
TRAIN_04664,39.0,F,45.0,23.0,18.0,member,90,15.0,1
TRAIN_04665,32.0,M,6.0,22.0,11.0,vip,360,15.0,0
TRAIN_04666,21.0,F,41.0,30.0,1.0,member,30,8.0,2
TRAIN_04667,26.0,M,54.0,19.0,8.0,member,360,13.0,0
TRAIN_04668,49.0,F,37.0,30.0,8.0,plus,90,3.0,0
TRAIN_04669,18.0,M,11.0,21.0,8.0,member,360,9.0,0
TRAIN_04670,47.0,M,17.0,25.0,0.0,plus,90,19.0,0
TRAIN_04671,41.0,F,47.0,29.0,15.0,member,360,14.0,0
TRAIN_04672,33.0,F,38.0,23.0,13.0,member,360,4.0,0
TRAIN_04673,60.0,F,21.0,17.0,3.0,member,30,10.0,1
TRAIN_04674,41.0,M,54.0,10.0,9.0,vip,360,3.0,0
TRAIN_04675,41.0,M,28.0,26.0,2.0,member,360,13.0,1
TRAIN_04676,21.0,M,39.0,1.0,20.0,vip,90,30.0,0
TRAIN_04677,24.0,M,1.0,25.0,12.0,plus,90,5.0,0
TRAIN_04678,39.0,F,19.0,12.0,8.0,member,90,8.0,1
TRAIN_04679,27.0,M,35.0,4.0,5.0,vip,30,26.0,0
TRAIN_04680,18.0,F,55.0,19.0,20.0,member,90,14.0,1
TRAIN_04681,46.0,M,48.0,30.0,26.0,plus,30,26.0,0
TRAIN_04682,27.0,M,15.0,28.0,19.0,vip,90,29.0,0
TRAIN_04683,22.0,M,18.0,10.0,12.0,member,30,7.0,0
TRAIN_04684,30.0,M,42.0,13.0,4.0,vip,360,19.0,0
TRAIN_04685,20.0,F,16.0,21.0,14.0,vip,90,14.0,0
TRAIN_04686,40.0,M,18.0,19.0,8.0,plus,90,23.0,2
TRAIN_04687,48.0,F,2.0,16.0,22.0,member,360,6.0,2
TRAIN_04688,45.0,M,14.0,23.0,3.0,vip,360,23.0,0
TRAIN_04689,24.0,M,59.0,11.0,7.0,plus,90,13.0,2
TRAIN_04690,47.0,F,20.0,16.0,18.0,vip,360,13.0,1
TRAIN_04691,54.0,F,15.0,11.0,10.0,plus,90,11.0,2
TRAIN_04692,20.0,M,16.0,23.0,4.0,member,90,21.0,0
TRAIN_04693,48.0,F,18.0,28.0,8.0,member,360,5.0,0
TRAIN_04694,29.0,M,15.0,30.0,13.0,member,90,17.0,2
TRAIN_04695,57.0,F,12.0,13.0,2.0,member,30,25.0,2
TRAIN_04696,60.0,M,11.0,18.0,19.0,vip,360,26.0,2
TRAIN_04697,59.0,M,53.0,21.0,28.0,plus,30,14.0,1
TRAIN_04698,44.0,F,38.0,14.0,22.0,vip,360,20.0,0
TRAIN_04699,22.0,M,1.0,17.0,29.0,vip,30,18.0,2
TRAIN_04700,34.0,M,58.0,8.0,15.0,member,90,8.0,0
TRAIN_04701,47.0,M,49.0,14.0,18.0,vip,90,7.0,1
TRAIN_04702,49.0,F,26.0,30.0,13.0,member,90,7.0,2
TRAIN_04703,24.0,F,18.0,22.0,16.0,member,30,5.0,1
TRAIN_04704,40.0,M,11.0,3.0,19.0,vip,90,11.0,0
TRAIN_04705,49.0,M,47.0,16.0,8.0,member,360,24.0,0
TRAIN_04706,22.0,M,28.0,1.0,1.0,member,90,15.0,2
TRAIN_04707,47.0,M,33.0,14.0,9.0,vip,360,9.0,1
TRAIN_04708,25.0,F,33.0,23.0,0.0,plus,90,26.0,1
TRAIN_04709,21.0,F,10.0,6.0,28.0,member,360,26.0,0
TRAIN_04710,39.0,M,21.0,18.0,11.0,vip,360,20.0,0
TRAIN_04711,38.0,F,4.0,6.0,8.0,plus,360,6.0,0
TRAIN_04712,41.0,M,51.0,29.0,8.0,member,90,16.0,0
TRAIN_04713,33.0,F,32.0,7.0,4.0,member,360,1.0,0
TRAIN_04714,37.0,F,24.0,18.0,16.0,vip,360,5.0,1
TRAIN_04715,46.0,M,36.0,6.0,7.0,plus,360,24.0,0
TRAIN_04716,27.0,M,59.0,6.0,0.0,vip,90,25.0,0
TRAIN_04717,54.0,M,8.0,22.0,1.0,member,90,17.0,0
TRAIN_04718,39.0,F,13.0,25.0,8.0,vip,360,8.0,1
TRAIN_04719,57.0,F,29.0,12.0,27.0,plus,30,12.0,2
TRAIN_04720,43.0,F,8.0,1.0,2.0,vip,90,21.0,0
TRAIN_04721,24.0,M,2.0,8.0,3.0,vip,360,14.0,2
TRAIN_04722,20.0,F,3.0,19.0,8.0,plus,360,11.0,0
TRAIN_04723,19.0,M,28.0,30.0,2.0,member,360,24.0,0
TRAIN_04724,47.0,M,7.0,9.0,15.0,member,360,15.0,1
TRAIN_04725,20.0,F,58.0,7.0,11.0,member,360,6.0,0
TRAIN_04726,40.0,F,37.0,11.0,29.0,member,360,27.0,1
TRAIN_04727,61.0,M,22.0,2.0,20.0,member,360,15.0,0
TRAIN_04728,55.0,M,60.0,1.0,28.0,plus,30,9.0,2
TRAIN_04729,42.0,M,47.0,19.0,28.0,plus,360,10.0,2
TRAIN_04730,30.0,F,14.0,28.0,19.0,plus,30,17.0,0
TRAIN_04731,55.0,F,40.0,14.0,8.0,member,90,16.0,2
TRAIN_04732,24.0,F,51.0,10.0,29.0,vip,30,24.0,0
TRAIN_04733,33.0,M,48.0,1.0,14.0,member,360,17.0,0
TRAIN_04734,25.0,M,48.0,3.0,16.0,plus,360,21.0,0
TRAIN_04735,52.0,M,4.0,22.0,4.0,vip,30,14.0,2
TRAIN_04736,33.0,M,40.0,2.0,27.0,vip,360,9.0,0
TRAIN_04737,28.0,M,58.0,7.0,1.0,plus,90,17.0,0
TRAIN_04738,65.0,F,25.0,5.0,22.0,member,30,26.0,2
TRAIN_04739,32.0,F,9.0,13.0,17.0,plus,360,4.0,0
TRAIN_04740,22.0,M,14.0,28.0,7.0,member,360,28.0,0
TRAIN_04741,49.0,F,41.0,26.0,5.0,vip,360,15.0,1
TRAIN_04742,30.0,M,40.0,9.0,20.0,member,30,12.0,1
TRAIN_04743,53.0,M,37.0,26.0,30.0,plus,360,21.0,2
TRAIN_04744,63.0,M,29.0,16.0,23.0,plus,360,14.0,2
TRAIN_04745,60.0,M,32.0,5.0,27.0,plus,360,24.0,0
TRAIN_04746,20.0,M,30.0,24.0,13.0,member,360,12.0,1
TRAIN_04747,46.0,M,9.0,14.0,13.0,plus,90,3.0,2
TRAIN_04748,27.0,M,22.0,12.0,8.0,plus,30,4.0,2
TRAIN_04749,41.0,F,35.0,8.0,8.0,member,360,22.0,1
TRAIN_04750,43.0,F,53.0,18.0,30.0,plus,360,4.0,1
TRAIN_04751,37.0,M,30.0,16.0,20.0,plus,90,5.0,1
TRAIN_04752,49.0,M,56.0,6.0,17.0,member,360,1.0,0
TRAIN_04753,28.0,M,18.0,19.0,3.0,member,360,17.0,0
TRAIN_04754,43.0,M,45.0,27.0,7.0,plus,360,22.0,1
TRAIN_04755,60.0,F,21.0,8.0,7.0,member,360,5.0,2
TRAIN_04756,19.0,M,36.0,12.0,8.0,plus,360,29.0,2
TRAIN_04757,44.0,M,18.0,27.0,11.0,plus,90,21.0,0
TRAIN_04758,44.0,M,12.0,11.0,9.0,plus,360,14.0,0
TRAIN_04759,44.0,F,25.0,27.0,15.0,plus,90,7.0,0
TRAIN_04760,43.0,M,42.0,29.0,9.0,plus,360,11.0,0
TRAIN_04761,41.0,M,57.0,15.0,25.0,plus,360,30.0,2
TRAIN_04762,35.0,F,47.0,5.0,17.0,vip,30,3.0,2
TRAIN_04763,32.0,F,60.0,30.0,27.0,vip,30,21.0,2
TRAIN_04764,40.0,M,20.0,27.0,7.0,plus,90,18.0,0
TRAIN_04765,22.0,M,59.0,18.0,12.0,vip,30,18.0,2
TRAIN_04766,32.0,M,9.0,5.0,22.0,plus,30,1.0,2
TRAIN_04767,19.0,M,18.0,20.0,23.0,member,90,17.0,2
TRAIN_04768,44.0,F,36.0,26.0,15.0,member,90,9.0,1
TRAIN_04769,23.0,F,40.0,24.0,5.0,plus,30,10.0,1
TRAIN_04770,33.0,F,26.0,4.0,17.0,member,90,30.0,2
TRAIN_04771,40.0,M,40.0,22.0,22.0,plus,360,6.0,1
TRAIN_04772,24.0,F,17.0,8.0,25.0,vip,90,7.0,1
TRAIN_04773,49.0,M,58.0,29.0,3.0,member,360,14.0,0
TRAIN_04774,32.0,F,27.0,13.0,16.0,plus,360,2.0,0
TRAIN_04775,27.0,M,46.0,26.0,13.0,plus,90,12.0,2
TRAIN_04776,40.0,F,11.0,20.0,16.0,plus,90,26.0,0
TRAIN_04777,52.0,M,47.0,5.0,25.0,plus,90,30.0,2
TRAIN_04778,24.0,F,40.0,8.0,4.0,vip,90,21.0,2
TRAIN_04779,52.0,F,46.0,26.0,3.0,member,360,27.0,1
TRAIN_04780,41.0,F,22.0,26.0,26.0,member,360,16.0,2
TRAIN_04781,39.0,F,6.0,11.0,8.0,vip,360,11.0,1
TRAIN_04782,34.0,M,14.0,24.0,2.0,vip,90,4.0,0
TRAIN_04783,21.0,F,44.0,6.0,6.0,plus,90,24.0,2
TRAIN_04784,40.0,M,34.0,18.0,22.0,vip,30,30.0,2
TRAIN_04785,32.0,F,55.0,23.0,14.0,plus,90,14.0,0
TRAIN_04786,42.0,M,36.0,5.0,15.0,member,360,18.0,0
TRAIN_04787,45.0,M,45.0,6.0,9.0,member,360,24.0,0
TRAIN_04788,20.0,M,29.0,2.0,19.0,vip,360,10.0,0
TRAIN_04789,49.0,M,4.0,16.0,1.0,vip,360,7.0,0
TRAIN_04790,50.0,F,21.0,21.0,14.0,member,90,5.0,1
TRAIN_04791,45.0,M,57.0,4.0,14.0,vip,90,15.0,0
TRAIN_04792,59.0,M,5.0,2.0,17.0,member,30,1.0,2
TRAIN_04793,37.0,F,1.0,22.0,19.0,vip,360,27.0,0
TRAIN_04794,34.0,F,11.0,17.0,9.0,vip,360,1.0,2
TRAIN_04795,38.0,F,39.0,8.0,7.0,member,30,7.0,2
TRAIN_04796,26.0,M,30.0,13.0,6.0,member,360,12.0,0
TRAIN_04797,21.0,M,40.0,24.0,1.0,vip,90,19.0,2
TRAIN_04798,49.0,M,36.0,28.0,10.0,vip,360,28.0,2
TRAIN_04799,36.0,M,23.0,22.0,20.0,member,360,4.0,0
TRAIN_04800,46.0,F,53.0,2.0,13.0,plus,360,3.0,1
TRAIN_04801,48.0,M,4.0,3.0,20.0,vip,360,20.0,1
TRAIN_04802,42.0,F,30.0,26.0,9.0,plus,360,7.0,0
TRAIN_04803,29.0,F,54.0,16.0,30.0,member,90,20.0,2
TRAIN_04804,37.0,F,52.0,23.0,30.0,member,30,5.0,2
TRAIN_04805,38.0,F,33.0,21.0,11.0,plus,90,5.0,0
TRAIN_04806,32.0,F,55.0,29.0,24.0,vip,30,12.0,2
TRAIN_04807,65.0,F,45.0,1.0,5.0,member,90,3.0,2
TRAIN_04808,38.0,F,15.0,19.0,5.0,plus,90,5.0,0
TRAIN_04809,18.0,F,14.0,5.0,6.0,member,360,19.0,2
TRAIN_04810,62.0,M,29.0,2.0,15.0,vip,30,7.0,1
TRAIN_04811,42.0,M,20.0,1.0,6.0,plus,90,9.0,0
TRAIN_04812,27.0,F,36.0,24.0,8.0,member,360,10.0,1
TRAIN_04813,33.0,F,34.0,23.0,3.0,plus,90,13.0,1
TRAIN_04814,60.0,F,35.0,25.0,16.0,plus,30,26.0,1
TRAIN_04815,42.0,M,7.0,25.0,27.0,member,90,27.0,0
TRAIN_04816,20.0,M,24.0,17.0,12.0,member,90,12.0,0
TRAIN_04817,45.0,M,44.0,13.0,3.0,plus,360,9.0,0
TRAIN_04818,56.0,M,23.0,25.0,19.0,vip,30,21.0,2
TRAIN_04819,39.0,M,17.0,16.0,18.0,vip,90,10.0,1
TRAIN_04820,18.0,F,60.0,30.0,8.0,vip,90,15.0,0
TRAIN_04821,43.0,F,39.0,11.0,1.0,plus,30,21.0,1
TRAIN_04822,43.0,M,35.0,30.0,18.0,plus,360,25.0,0
TRAIN_04823,41.0,M,30.0,15.0,8.0,member,90,1.0,1
TRAIN_04824,41.0,F,22.0,23.0,16.0,member,30,7.0,0
TRAIN_04825,45.0,F,12.0,11.0,6.0,plus,90,11.0,0
TRAIN_04826,21.0,M,35.0,24.0,4.0,plus,90,9.0,0
TRAIN_04827,23.0,M,6.0,26.0,21.0,plus,30,15.0,0
TRAIN_04828,64.0,M,22.0,2.0,28.0,vip,90,15.0,0
TRAIN_04829,53.0,F,43.0,30.0,15.0,vip,360,16.0,0
TRAIN_04830,52.0,F,39.0,1.0,9.0,vip,360,15.0,1
TRAIN_04831,45.0,M,38.0,8.0,18.0,member,90,20.0,0
TRAIN_04832,25.0,F,13.0,9.0,27.0,plus,90,1.0,1
TRAIN_04833,49.0,F,38.0,4.0,3.0,vip,360,7.0,0
TRAIN_04834,27.0,F,7.0,26.0,5.0,member,360,7.0,0
TRAIN_04835,28.0,F,16.0,15.0,28.0,member,30,6.0,0
TRAIN_04836,43.0,F,19.0,13.0,5.0,vip,360,12.0,1
TRAIN_04837,48.0,F,2.0,12.0,10.0,vip,30,11.0,0
TRAIN_04838,41.0,F,29.0,14.0,9.0,member,90,7.0,0
TRAIN_04839,37.0,M,58.0,13.0,3.0,vip,90,6.0,0
TRAIN_04840,43.0,F,3.0,12.0,30.0,vip,360,25.0,1
TRAIN_04841,35.0,M,36.0,11.0,20.0,member,90,7.0,1
TRAIN_04842,32.0,F,43.0,1.0,15.0,plus,360,16.0,1
TRAIN_04843,65.0,M,30.0,25.0,28.0,plus,360,25.0,1
TRAIN_04844,49.0,M,40.0,29.0,17.0,member,360,8.0,0
TRAIN_04845,25.0,F,51.0,7.0,14.0,plus,90,3.0,0
TRAIN_04846,54.0,F,18.0,11.0,16.0,plus,360,4.0,1
TRAIN_04847,46.0,M,24.0,21.0,28.0,plus,360,27.0,2
TRAIN_04848,29.0,M,55.0,17.0,18.0,member,360,19.0,0
TRAIN_04849,36.0,F,54.0,10.0,27.0,plus,90,16.0,2
TRAIN_04850,18.0,M,19.0,10.0,2.0,vip,30,30.0,2
TRAIN_04851,50.0,M,28.0,9.0,30.0,vip,360,17.0,2
TRAIN_04852,37.0,M,20.0,3.0,2.0,plus,90,12.0,2
TRAIN_04853,34.0,F,29.0,17.0,12.0,plus,360,11.0,1
TRAIN_04854,20.0,M,16.0,11.0,16.0,member,360,3.0,2
TRAIN_04855,51.0,M,14.0,15.0,24.0,plus,30,27.0,2
TRAIN_04856,40.0,M,56.0,11.0,22.0,member,30,24.0,1
TRAIN_04857,46.0,M,45.0,16.0,5.0,plus,360,23.0,1
TRAIN_04858,37.0,F,4.0,3.0,16.0,vip,360,5.0,0
TRAIN_04859,62.0,M,22.0,12.0,23.0,plus,30,24.0,1
TRAIN_04860,59.0,M,4.0,2.0,26.0,plus,30,12.0,0
TRAIN_04861,25.0,M,7.0,13.0,2.0,vip,360,18.0,0
TRAIN_04862,59.0,M,12.0,6.0,28.0,vip,90,18.0,2
TRAIN_04863,31.0,M,38.0,15.0,2.0,vip,90,19.0,0
TRAIN_04864,45.0,F,28.0,28.0,10.0,member,360,9.0,1
TRAIN_04865,43.0,M,51.0,3.0,21.0,plus,30,30.0,0
TRAIN_04866,44.0,M,21.0,19.0,23.0,member,30,25.0,1
TRAIN_04867,39.0,M,54.0,7.0,0.0,vip,90,22.0,1
TRAIN_04868,44.0,M,1.0,13.0,15.0,member,90,25.0,2
TRAIN_04869,38.0,M,57.0,17.0,4.0,plus,90,19.0,0
TRAIN_04870,46.0,F,41.0,6.0,8.0,plus,30,20.0,1
TRAIN_04871,35.0,F,25.0,9.0,11.0,member,360,4.0,0
TRAIN_04872,44.0,M,43.0,9.0,19.0,vip,360,18.0,1
TRAIN_04873,31.0,M,28.0,1.0,16.0,member,360,6.0,0
TRAIN_04874,23.0,F,31.0,5.0,13.0,vip,30,13.0,1
TRAIN_04875,36.0,F,14.0,16.0,24.0,vip,90,7.0,1
TRAIN_04876,65.0,M,51.0,26.0,4.0,member,30,26.0,2
TRAIN_04877,29.0,M,48.0,6.0,8.0,vip,360,15.0,0
TRAIN_04878,49.0,M,10.0,13.0,11.0,vip,90,6.0,1
TRAIN_04879,64.0,F,22.0,16.0,13.0,vip,90,17.0,2
TRAIN_04880,22.0,M,18.0,13.0,4.0,vip,90,8.0,0
TRAIN_04881,41.0,M,40.0,1.0,28.0,vip,360,4.0,0
TRAIN_04882,43.0,M,8.0,10.0,9.0,plus,90,14.0,0
TRAIN_04883,54.0,M,6.0,3.0,18.0,plus,30,21.0,0
TRAIN_04884,48.0,M,3.0,21.0,5.0,plus,360,1.0,1
TRAIN_04885,37.0,M,18.0,22.0,24.0,member,30,6.0,0
TRAIN_04886,52.0,F,3.0,16.0,8.0,plus,30,30.0,1
TRAIN_04887,62.0,M,20.0,28.0,19.0,member,360,19.0,2
TRAIN_04888,46.0,F,58.0,11.0,3.0,vip,360,24.0,2
TRAIN_04889,63.0,M,8.0,15.0,11.0,plus,30,11.0,1
TRAIN_04890,41.0,F,8.0,11.0,22.0,vip,360,21.0,1
TRAIN_04891,33.0,M,20.0,1.0,14.0,member,90,14.0,1
TRAIN_04892,28.0,F,45.0,29.0,19.0,plus,90,10.0,0
TRAIN_04893,39.0,F,26.0,2.0,0.0,vip,90,16.0,1
TRAIN_04894,58.0,F,52.0,20.0,15.0,member,360,18.0,1
TRAIN_04895,31.0,F,51.0,25.0,11.0,plus,360,14.0,1
TRAIN_04896,47.0,F,38.0,24.0,4.0,vip,360,10.0,1
TRAIN_04897,22.0,F,1.0,23.0,13.0,vip,30,26.0,0
TRAIN_04898,19.0,M,59.0,20.0,19.0,vip,30,22.0,2
TRAIN_04899,20.0,M,24.0,3.0,18.0,vip,30,13.0,1
TRAIN_04900,63.0,M,20.0,12.0,20.0,vip,30,24.0,0
TRAIN_04901,62.0,F,55.0,20.0,8.0,vip,360,23.0,2
TRAIN_04902,27.0,F,40.0,11.0,5.0,vip,90,5.0,1
TRAIN_04903,34.0,F,31.0,16.0,17.0,plus,360,15.0,0
TRAIN_04904,42.0,M,51.0,5.0,3.0,vip,90,7.0,0
TRAIN_04905,30.0,F,39.0,20.0,13.0,member,90,4.0,0
TRAIN_04906,50.0,M,33.0,7.0,25.0,plus,90,25.0,1
TRAIN_04907,21.0,F,26.0,10.0,11.0,member,360,6.0,0
TRAIN_04908,54.0,M,46.0,14.0,13.0,member,360,25.0,2
TRAIN_04909,59.0,M,51.0,18.0,30.0,member,360,25.0,2
TRAIN_04910,65.0,F,33.0,28.0,28.0,member,30,19.0,1
TRAIN_04911,22.0,F,52.0,11.0,6.0,member,360,14.0,0
TRAIN_04912,22.0,F,33.0,30.0,30.0,vip,90,25.0,1
TRAIN_04913,36.0,F,47.0,10.0,15.0,member,90,28.0,2
TRAIN_04914,38.0,M,35.0,25.0,2.0,member,30,6.0,2
TRAIN_04915,50.0,M,12.0,21.0,2.0,member,360,8.0,0
TRAIN_04916,29.0,F,58.0,4.0,16.0,member,360,10.0,0
TRAIN_04917,31.0,M,35.0,28.0,28.0,member,90,9.0,1
TRAIN_04918,31.0,M,37.0,17.0,5.0,plus,360,18.0,1
TRAIN_04919,23.0,M,43.0,1.0,16.0,plus,360,11.0,0
TRAIN_04920,28.0,M,19.0,3.0,2.0,member,30,24.0,2
